# train_severity_l2r_rank 2026-03-29T07:36:53.365381
# model=xgboost test_mode=train_thresholds csv=severity/logging_monitoring_anomalies.csv
# config=/home/work/lab_project/severity/experiment_config.yaml

[로그 파일] /home/work/lab_project/severity/experiment_logs/all_20260329_073518/logs/l2r_xgboost_train_thresholds.log
[0]	validation_0-ndcg@32:0.73673
[1]	validation_0-ndcg@32:0.73554
[2]	validation_0-ndcg@32:0.73373
[3]	validation_0-ndcg@32:0.73298
[4]	validation_0-ndcg@32:0.73454
[5]	validation_0-ndcg@32:0.73727
[6]	validation_0-ndcg@32:0.73455
[7]	validation_0-ndcg@32:0.73455
[8]	validation_0-ndcg@32:0.73397
[9]	validation_0-ndcg@32:0.73558
[10]	validation_0-ndcg@32:0.73500
[11]	validation_0-ndcg@32:0.73426
[12]	validation_0-ndcg@32:0.73575
[13]	validation_0-ndcg@32:0.73540
[14]	validation_0-ndcg@32:0.73479
[15]	validation_0-ndcg@32:0.73460
[16]	validation_0-ndcg@32:0.73451
[17]	validation_0-ndcg@32:0.73482
[18]	validation_0-ndcg@32:0.73484
[19]	validation_0-ndcg@32:0.73437
[20]	validation_0-ndcg@32:0.73421
[21]	validation_0-ndcg@32:0.73381
[22]	validation_0-ndcg@32:0.73409
[23]	validation_0-ndcg@32:0.73452
[24]	validation_0-ndcg@32:0.73438
[25]	validation_0-ndcg@32:0.73451
[26]	validation_0-ndcg@32:0.73401
[27]	validation_0-ndcg@32:0.73443
[28]	validation_0-ndcg@32:0.73466
[29]	validation_0-ndcg@32:0.73469
[30]	validation_0-ndcg@32:0.73465
[31]	validation_0-ndcg@32:0.73581
[32]	validation_0-ndcg@32:0.73677
[33]	validation_0-ndcg@32:0.73706
[34]	validation_0-ndcg@32:0.73661
[35]	validation_0-ndcg@32:0.73661
[36]	validation_0-ndcg@32:0.73486
[37]	validation_0-ndcg@32:0.73558
[38]	validation_0-ndcg@32:0.73543
[39]	validation_0-ndcg@32:0.73556
[40]	validation_0-ndcg@32:0.73498
[41]	validation_0-ndcg@32:0.73468
[42]	validation_0-ndcg@32:0.73447
[43]	validation_0-ndcg@32:0.73452
[44]	validation_0-ndcg@32:0.73407
[45]	validation_0-ndcg@32:0.73420
[46]	validation_0-ndcg@32:0.73495
[47]	validation_0-ndcg@32:0.73506
[48]	validation_0-ndcg@32:0.73435
[49]	validation_0-ndcg@32:0.73361
[50]	validation_0-ndcg@32:0.73373
[51]	validation_0-ndcg@32:0.73417
[52]	validation_0-ndcg@32:0.73409
[53]	validation_0-ndcg@32:0.73366
[54]	validation_0-ndcg@32:0.73350
[55]	validation_0-ndcg@32:0.73269
[56]	validation_0-ndcg@32:0.73293
[57]	validation_0-ndcg@32:0.73276
[58]	validation_0-ndcg@32:0.73262
[59]	validation_0-ndcg@32:0.73299
[60]	validation_0-ndcg@32:0.73252
[61]	validation_0-ndcg@32:0.73311
[62]	validation_0-ndcg@32:0.73360
[63]	validation_0-ndcg@32:0.73331
[64]	validation_0-ndcg@32:0.73293
[65]	validation_0-ndcg@32:0.73273
[66]	validation_0-ndcg@32:0.73264
