# train_severity_l2r_rank 2026-03-29T09:23:50.258702
# model=xgboost test_mode=train_thresholds csv=severity/logging_monitoring_anomalies.csv
# config=/home/work/lab_project/severity/experiment_config.yaml

[로그 파일] /home/work/lab_project/severity/experiment_logs/all_20260329_092153/logs/l2r_xgboost_train_thresholds.log
[[ 0.      0.     -0.8351 -1.7189  1.4577  0.122   1.0859  0.5791 -1.2547  1.2696 -1.309   1.1615  1.3574  0.7751 -1.7115 -0.1346 -0.9621 -1.3686  1.0604  0.8664  0.7023  0.882   1.3367 -0.8785
   0.4453  0.4473  0.635   0.7097 -1.3365 -0.7106]
 [ 1.      0.      0.1243 -0.3186 -1.2696 -1.2888  0.3412  0.4589  1.4455 -0.1913  0.2913 -1.2219  1.3574  0.6019  1.7109 -1.085  -1.6556  1.5471 -0.5     0.8664 -1.4193 -0.881  -0.4545  1.4664
  -0.45    0.4473 -0.2115  0.0033  1.3381 -1.4171]
 [ 2.      0.      0.9625  0.3535 -1.2696  0.12    0.1687  1.4359 -1.1057 -0.4565  1.3232 -0.0269 -0.5194  0.6019 -0.9671 -0.9529  0.4249 -0.0661  0.493   0.518  -0.7121 -0.2933 -1.3501 -1.4647
   1.3406 -1.3473  0.1516  0.7097 -0.445   1.409 ]
 [ 1.      0.     -1.6167 -1.2117 -0.1787 -0.6923 -1.2574 -0.5276 -0.8082  0.3122  0.5782  1.5341 -0.6584  1.1216 -1.1053  0.515  -0.442  -0.3785  0.7767 -1.5721  0.7023 -1.4687  1.3367 -0.8785
   0.4453 -1.3473  1.5224  0.7097 -1.3365  1.409 ]]
[114]	validation_0-ndcg@32:0.51542
[115]	validation_0-ndcg@32:0.51542
[116]	validation_0-ndcg@32:0.51521
[117]	validation_0-ndcg@32:0.51524
[118]	validation_0-ndcg@32:0.51570
[119]	validation_0-ndcg@32:0.51576
[120]	validation_0-ndcg@32:0.51544
[121]	validation_0-ndcg@32:0.51530
[122]	validation_0-ndcg@32:0.51514
[123]	validation_0-ndcg@32:0.51542
[124]	validation_0-ndcg@32:0.51581
[125]	validation_0-ndcg@32:0.51542
[126]	validation_0-ndcg@32:0.51557
[127]	validation_0-ndcg@32:0.51519
[128]	validation_0-ndcg@32:0.51488
[129]	validation_0-ndcg@32:0.51436
[130]	validation_0-ndcg@32:0.51449
[131]	validation_0-ndcg@32:0.51447
[132]	validation_0-ndcg@32:0.51479
[133]	validation_0-ndcg@32:0.51504
[134]	validation_0-ndcg@32:0.51419
[135]	validation_0-ndcg@32:0.51403
[136]	validation_0-ndcg@32:0.51358
[137]	validation_0-ndcg@32:0.51354
[138]	validation_0-ndcg@32:0.51328
[139]	validation_0-ndcg@32:0.51349
[140]	validation_0-ndcg@32:0.51344
[141]	validation_0-ndcg@32:0.51414
[142]	validation_0-ndcg@32:0.51410
[143]	validation_0-ndcg@32:0.51441
[144]	validation_0-ndcg@32:0.51397
[145]	validation_0-ndcg@32:0.51372
[146]	validation_0-ndcg@32:0.51397
[147]	validation_0-ndcg@32:0.51304
[148]	validation_0-ndcg@32:0.51352
[149]	validation_0-ndcg@32:0.51330
[150]	validation_0-ndcg@32:0.51252
[151]	validation_0-ndcg@32:0.51272
[152]	validation_0-ndcg@32:0.51247
[153]	validation_0-ndcg@32:0.51294
[154]	validation_0-ndcg@32:0.51289
[155]	validation_0-ndcg@32:0.51247
[156]	validation_0-ndcg@32:0.51265
[157]	validation_0-ndcg@32:0.51224
[158]	validation_0-ndcg@32:0.51215
[159]	validation_0-ndcg@32:0.51235
[160]	validation_0-ndcg@32:0.51258
[161]	validation_0-ndcg@32:0.51220
[162]	validation_0-ndcg@32:0.51206
[163]	validation_0-ndcg@32:0.51191
[164]	validation_0-ndcg@32:0.51188
