# train_severity_l2r_rank 2026-03-28T05:49:07.246073
# model=xgboost test_mode=train_thresholds csv=severity/logging_monitoring_anomalies.csv
# config=/home/work/lab_project/severity/experiment_config.yaml

[로그 파일] /home/work/lab_project/severity/experiment_logs/all_20260328_054638/logs/l2r_xgboost_train_thresholds.log
[145]	validation_0-ndcg@32:0.50039
[146]	validation_0-ndcg@32:0.50191
[147]	validation_0-ndcg@32:0.50184
[148]	validation_0-ndcg@32:0.50243
[149]	validation_0-ndcg@32:0.50235
[150]	validation_0-ndcg@32:0.50133
[151]	validation_0-ndcg@32:0.50121
[152]	validation_0-ndcg@32:0.50187
[153]	validation_0-ndcg@32:0.50114
[154]	validation_0-ndcg@32:0.50211
[155]	validation_0-ndcg@32:0.50185
[156]	validation_0-ndcg@32:0.50194
[157]	validation_0-ndcg@32:0.50060
[158]	validation_0-ndcg@32:0.50039
[159]	validation_0-ndcg@32:0.50009
[160]	validation_0-ndcg@32:0.50042
[161]	validation_0-ndcg@32:0.50069
[162]	validation_0-ndcg@32:0.50012
[163]	validation_0-ndcg@32:0.49994
[164]	validation_0-ndcg@32:0.50031
[165]	validation_0-ndcg@32:0.49967
[166]	validation_0-ndcg@32:0.49986
[167]	validation_0-ndcg@32:0.50040
[168]	validation_0-ndcg@32:0.50033
[169]	validation_0-ndcg@32:0.49997
[170]	validation_0-ndcg@32:0.49960
[171]	validation_0-ndcg@32:0.49953
[172]	validation_0-ndcg@32:0.50017
[173]	validation_0-ndcg@32:0.50104
[174]	validation_0-ndcg@32:0.50031
[175]	validation_0-ndcg@32:0.50005
[176]	validation_0-ndcg@32:0.50124
[177]	validation_0-ndcg@32:0.49944
[178]	validation_0-ndcg@32:0.49998
[179]	validation_0-ndcg@32:0.49994
[180]	validation_0-ndcg@32:0.49972
[181]	validation_0-ndcg@32:0.50061
[182]	validation_0-ndcg@32:0.49994
[183]	validation_0-ndcg@32:0.50094
[184]	validation_0-ndcg@32:0.50090
[185]	validation_0-ndcg@32:0.50079
[186]	validation_0-ndcg@32:0.50114
[187]	validation_0-ndcg@32:0.50125
[188]	validation_0-ndcg@32:0.50118
[189]	validation_0-ndcg@32:0.50107
[190]	validation_0-ndcg@32:0.50099
[191]	validation_0-ndcg@32:0.50115
[192]	validation_0-ndcg@32:0.50069
[193]	validation_0-ndcg@32:0.50168
[194]	validation_0-ndcg@32:0.50151
[195]	validation_0-ndcg@32:0.50134
[196]	validation_0-ndcg@32:0.50066
[197]	validation_0-ndcg@32:0.50081
[198]	validation_0-ndcg@32:0.50096
[199]	validation_0-ndcg@32:0.50015
[200]	validation_0-ndcg@32:0.50006
[201]	validation_0-ndcg@32:0.50060
[202]	validation_0-ndcg@32:0.50078
[203]	validation_0-ndcg@32:0.50004
[204]	validation_0-ndcg@32:0.50025
[205]	validation_0-ndcg@32:0.50052
[206]	validation_0-ndcg@32:0.50000
[207]	validation_0-ndcg@32:0.50020
[208]	validation_0-ndcg@32:0.50001
[209]	validation_0-ndcg@32:0.49982
[210]	validation_0-ndcg@32:0.49951
[211]	validation_0-ndcg@32:0.49950
[212]	validation_0-ndcg@32:0.49994
[213]	validation_0-ndcg@32:0.49977
[214]	validation_0-ndcg@32:0.50058
[215]	validation_0-ndcg@32:0.50016
[216]	validation_0-ndcg@32:0.50013
[217]	validation_0-ndcg@32:0.50032
[218]	validation_0-ndcg@32:0.50026
[219]	validation_0-ndcg@32:0.50009
[220]	validation_0-ndcg@32:0.49980
[221]	validation_0-ndcg@32:0.49923
[222]	validation_0-ndcg@32:0.49888
[223]	validation_0-ndcg@32:0.49879
[224]	validation_0-ndcg@32:0.49883
[225]	validation_0-ndcg@32:0.49895
[226]	validation_0-ndcg@32:0.49904
[227]	validation_0-ndcg@32:0.49948
[228]	validation_0-ndcg@32:0.49983
[229]	validation_0-ndcg@32:0.49915
[230]	validation_0-ndcg@32:0.49883
[231]	validation_0-ndcg@32:0.49880
[232]	validation_0-ndcg@32:0.49875
[233]	validation_0-ndcg@32:0.49839
[234]	validation_0-ndcg@32:0.49832
[235]	validation_0-ndcg@32:0.49831
[236]	validation_0-ndcg@32:0.49823
[237]	validation_0-ndcg@32:0.49771
[238]	validation_0-ndcg@32:0.49778
[239]	validation_0-ndcg@32:0.49808
[240]	validation_0-ndcg@32:0.49826
[241]	validation_0-ndcg@32:0.49808
[242]	validation_0-ndcg@32:0.49826
[243]	validation_0-ndcg@32:0.49819
[244]	validation_0-ndcg@32:0.49809
[245]	validation_0-ndcg@32:0.49775
[246]	validation_0-ndcg@32:0.49815
[247]	validation_0-ndcg@32:0.49784
[248]	validation_0-ndcg@32:0.49806
[249]	validation_0-ndcg@32:0.49750
[250]	validation_0-ndcg@32:0.49776
[251]	validation_0-ndcg@32:0.49786
[252]	validation_0-ndcg@32:0.49727
[253]	validation_0-ndcg@32:0.49885
[254]	validation_0-ndcg@32:0.49885
[255]	validation_0-ndcg@32:0.49877
[256]	validation_0-ndcg@32:0.49921
[257]	validation_0-ndcg@32:0.49940
[258]	validation_0-ndcg@32:0.49938
[259]	validation_0-ndcg@32:0.49964
[260]	validation_0-ndcg@32:0.49964
[261]	validation_0-ndcg@32:0.49925
[262]	validation_0-ndcg@32:0.49891
[263]	validation_0-ndcg@32:0.49897
[264]	validation_0-ndcg@32:0.49891
[265]	validation_0-ndcg@32:0.49897
[266]	validation_0-ndcg@32:0.49885
[267]	validation_0-ndcg@32:0.49915
[268]	validation_0-ndcg@32:0.49900
[269]	validation_0-ndcg@32:0.49887
[270]	validation_0-ndcg@32:0.49896
[271]	validation_0-ndcg@32:0.49882
[272]	validation_0-ndcg@32:0.49890
[273]	validation_0-ndcg@32:0.49920
[274]	validation_0-ndcg@32:0.49936
[275]	validation_0-ndcg@32:0.49919
[276]	validation_0-ndcg@32:0.49905
[277]	validation_0-ndcg@32:0.49933
[278]	validation_0-ndcg@32:0.49871
[279]	validation_0-ndcg@32:0.49891
[280]	validation_0-ndcg@32:0.49865
[281]	validation_0-ndcg@32:0.49902
[282]	validation_0-ndcg@32:0.49916
[283]	validation_0-ndcg@32:0.49947
[284]	validation_0-ndcg@32:0.49930
[285]	validation_0-ndcg@32:0.49984
[286]	validation_0-ndcg@32:0.49962
